session	order	texture	prompt
1	1	home	A wool hat dries beside the low stove in the quiet room.
1	2	storm	Wind pushes a loose branch against the shed while rain fills the path.
1	3	wonder	A wooden horse faces the other way after the room was empty.
1	4	social	An older child brings two cups and leaves the smaller one for Leo.
1	5	home	Steam fades above the bowl near a clean red towel.
1	6	wonder	Three buttons lie in a line where only one had been before.
1	7	social	A patient visitor waits while Leo finishes tying his shoe.
1	8	storm	Rain strikes the metal step and a cold draft moves the curtain.
2	1	storm	Dark clouds cross the yard as water taps every window at once.
2	2	wonder	A paper moon turns over inside a closed wooden drawer.
2	3	social	The small girl shares her blue chalk and keeps the green piece.
2	4	home	A warm plate waits beside the folded cloth after breakfast.
2	5	wonder	One dry leaf circles the floor though the door stays shut.
2	6	social	Uncle listens beside the lamp until Leo reaches the end.
2	7	storm	A hard gust lifts dust from the road before the first heavy drops.
2	8	home	The soft coat hangs near the cup in a patch of morning sun.
3	1	wonder	A glass bead feels warm although it rested in the dark cupboard.
3	2	social	A neighbour returns the red ball and asks Leo to keep it safe.
3	3	home	The little bed holds a smooth blanket under the pale window.
3	4	storm	Thunder shakes the shelf while water runs beneath the fence.
3	5	social	Two children make a space between them and show Leo their map.
3	6	storm	Fast drops cross the roof as the tall tree bends toward the wall.
3	7	home	A clean spoon rests by the warm cup on the wooden table.
3	8	wonder	The blue block stands upright after every other block has fallen.
4	1	social	Grandfather saves the last pear and cuts it into equal pieces.
4	2	home	Evening light reaches the pillow beside a freshly washed shirt.
4	3	storm	Wet leaves race past the gate while the sky makes one deep sound.
4	4	wonder	A small bell moves without ringing and then rings while still.
4	5	storm	Cold rain covers the steps as the gutter answers in quick beats.
4	6	home	The kitchen cloth is warm where the quiet kettle stood.
4	7	wonder	Two chalk marks meet beneath the chair although nobody drew them.
4	8	social	A cousin brings a book back and stays to hear Leo choose a page.
