kind	surface	intermediate	deep	surface_heard	intermediate_heard	deep_heard	deep_learned	one_layer_evidence	one_layer_base	two_layer_evidence	two_layer_base	default_question	ablation_question
natural	meaningful	meaning	mean	1	1	7	0	none	none	heard	mean	none	meaningful
edge-threshold	zorbledness	zorbled	zorble	1	1	2	0	none	none	heard	zorble	none	zorbledness
learned-deep	zorbledness	zorbled	zorble	1	1	0	1	none	none	meaning	zorble	none	zorbledness
semantic-deep	peacefully	peaceful	peace	1	1	0	0	none	none	meaning	peace	none	peacefully
plural-outer	kindnesses	kindness	kind	1	1	0	0	none	none	meaning	kind	none	kindnesses
thin-chain	zorbledness	zorbled	zorble	1	1	1	0	none	none	none	none	zorbledness	zorbledness
surface-only	zorbledness	zorbled	zorble	3	0	0	0	none	none	none	none	none	none
intermediate-only	zorbledness	zorbled	zorble	1	3	0	0	heard	zorbled	none	none	none	none
path-sum-only	zorbledness	zorbled	zorble	1	1	1	0	none	none	none	none	zorbledness	zorbledness
unseen-deep	flimmedness	flimmed	flim	1	1	0	0	none	none	none	none	flimmedness	flimmedness
three-layer	meaningfully	meaningful	meaning	1	1	1	0	none	none	none	none	meaningfully	meaningfully
unrelated	newsworthy	newsworth	news	1	1	7	0	none	none	none	none	newsworthy	newsworthy
