kind	identity	role_or_pending	witness_or_pending_turns	candidate_or_wonders	control_or_deferred_count	known_or_deferred_word	finished_episode	finished_resolved	yeah_episode	yeah_resolved	finished_deferred	yeah_deferred	finished_heard	yeah_heard	yeah_learned
direct	yes	discourse	yes	none	none	1	none	none	none	none	none	none	none	none	none
direct	yeah	discourse	yes	none	yeah	0	none	none	none	none	none	none	none	none	none
direct	yep	discourse	yes	none	yep	0	none	none	none	none	none	none	none	none	none
direct	okay	discourse	yes	none	okay	0	none	none	none	none	none	none	none	none	none
direct	ok	discourse	yes	none	none	0	none	none	none	none	none	none	none	none	none
direct	finished	none	none	finished	finished	0	none	none	none	none	none	none	none	none	none
direct	zorble	none	none	zorble	zorble	0	none	none	none	none	none	none	none	none	none
direct	fragile	none	none	fragile	fragile	0	none	none	none	none	none	none	none	none	none
direct	somehow	none	none	somehow	somehow	0	none	none	none	none	none	none	none	none	none
direct	sure	none	none	sure	sure	0	none	none	none	none	none	none	none	none	none
direct	yeahness	none	none	yeahness	yeahness	0	none	none	none	none	none	none	none	none	none
direct	okayish	none	none	okayish	okayish	0	none	none	none	none	none	none	none	none	none
state	control	yeah	0	2	1	finished	1	0	1	0	1	0	1	3	0
state	candidate	finished	2	1	1	somehow	1	0	0	-1	0	0	1	3	0
state	candidate-sleep	finished	2	1	1	somehow	1	0	0	-1	0	0	1	3	0
