case	surface	witness	candidate_family	boundary
natural-unhurried	unhurried	hurry	heard	un- + hurried + ied reaches the corpus-witnessed whole word hurry
direct-unhappy	unhappy	happy	meaning	un- may preserve one exact known lexical body
nested-unloved	unloved	love	meaning	un- + loved + ed reaches the known whole word love
nested-unrainy	unrainy	rain	meaning	un- + rainy + y reaches the known whole word rain
learned-unzorbled	unzorbled	zorble	meaning	a human-taught root may grow the same bounded negative family
unknown-root	unflimmed	none	none	an unwitnessed root cannot borrow familiarity from morphology alone
indivisible-uncle	uncle	none	none	an indivisible un-initial word is not split without whole-word evidence
indivisible-unique	unique	none	none	orthographic un is not automatically semantic negation
indivisible-union	union	none	none	orthographic un is not automatically semantic negation
other-prefix-invisible	invisible	none	none	A.128 makes no claim for in-, im-, ir-, dis-, or non-
short-unit	unit	none	none	the relative must have a sufficiently bounded lexical body
exact-hurried	hurried	hurry	heard	A.120's existing one-layer family remains unchanged
