arm	life	seed	offered_answer_expansion	followup_question_scope	transcript_sha256	state_sha256	wonder_open_turns	school_questions	a124_transcript_exact	a124_state_exact
control	making	503	0	0	4c4cffa147c3bbe856e9b47825e36255a00e6327eb2340763b400904439cf343	a350a631a3d5f3da2ded22c2fe43105f44bc2fb35443b8277644c50b16469be0	24	sturdier@1	true	true
control	meal	617	0	0	45403aaf2d16766dbd69dbaae94bf884bc77d2ea14083ccb08c347ce241b2d06	69c1c591a91453c53a84616fa8a1ebd601f71466b2e613fe7dbb30ff4ef7188a	23	onions@1,onions@3,guides@5,difficult@17	true	true
control	walk	739	0	0	1db5765ee5d692553eb27431563e001f3c5fd6083a93ddc0ffaaf8e667a3fffc	e13a73163ae5e91c5e5b134b58e9496e7bd55553e4e6e82f24c48ccf719df9dc	22	vulnerable@3	true	true
expansion-only	making	503	1	0	4c4cffa147c3bbe856e9b47825e36255a00e6327eb2340763b400904439cf343	a350a631a3d5f3da2ded22c2fe43105f44bc2fb35443b8277644c50b16469be0	24	sturdier@1	true	true
expansion-only	meal	617	1	0	45403aaf2d16766dbd69dbaae94bf884bc77d2ea14083ccb08c347ce241b2d06	69c1c591a91453c53a84616fa8a1ebd601f71466b2e613fe7dbb30ff4ef7188a	23	onions@1,onions@3,guides@5,difficult@17	true	true
expansion-only	walk	739	1	0	1db5765ee5d692553eb27431563e001f3c5fd6083a93ddc0ffaaf8e667a3fffc	e13a73163ae5e91c5e5b134b58e9496e7bd55553e4e6e82f24c48ccf719df9dc	22	vulnerable@3	true	true
scope-only	making	503	0	1	4c4cffa147c3bbe856e9b47825e36255a00e6327eb2340763b400904439cf343	004967b04abfb93c969a610fe37c23bfd71e5deb4ed114144f4ff3e65df4e518	24	sturdier@1	true	false
scope-only	meal	617	0	1	2b6e0fd52aa86ae5855546fc651d3b683a5b17c3c65444ec855485b04ea09776	cc8cca5d6ac7be973a244fe57d6fc7d3a664613562592d345e932cc1a13d3d07	23	onions@1,onions@3,guides@5	false	false
scope-only	walk	739	0	1	1db5765ee5d692553eb27431563e001f3c5fd6083a93ddc0ffaaf8e667a3fffc	dae13066ac99ba8db408b20c1e87ca4dfec3e01dc4ef5816c8ef7718715e6027	22	vulnerable@3	true	false
candidate	making	503	1	1	4c4cffa147c3bbe856e9b47825e36255a00e6327eb2340763b400904439cf343	004967b04abfb93c969a610fe37c23bfd71e5deb4ed114144f4ff3e65df4e518	24	sturdier@1	true	false
candidate	meal	617	1	1	a043bd2c061e23108995e5f28b51bd10e4bb544b617cf1e542342d2447460cba	d43d8b8e899bc9bb5ccc2d40521c61ca4729128caaee23f74cc4852fc13d8f9f	22	onions@1,onions@3,guides@5,vegetable@7	false	false
candidate	walk	739	1	1	1db5765ee5d692553eb27431563e001f3c5fd6083a93ddc0ffaaf8e667a3fffc	dae13066ac99ba8db408b20c1e87ca4dfec3e01dc4ef5816c8ef7718715e6027	22	vulnerable@3	true	false
