case	surface	witness	candidate_evidence	boundary
natural-prefer	prefer	prefers	heard	A.128 hears the complete corpus form prefers sixteen times before asking prefer
learned-prefer	prefer	prefers	meaning	a human-taught exact listed relative is equally explicit evidence
unlisted-zorble	zorble	zorbles	none	repeated morphology alone cannot invent an unlisted lexical relation
threshold-prefer	prefer	prefers	none	one hearing of the listed relative cannot manufacture familiarity
unheard-narp	narp	narps	none	morphology without a whole-word witness remains an honest question
indivisible-new	new	news	none	the existing whole-word news exception remains indivisible in both directions
doubled-s-pres	pres	press	none	a surface already ending in s cannot borrow a doubled-s neighbour
grammar-alway	alway	always	none	a grammar or stop-word neighbour is not lexical evidence
short-thi	thi	this	none	short shards cannot borrow a function-word neighbour
forward-prefers	prefers	prefer	none	A.129 itself does not recurse into A.120's forward suffix path
