kind	surface	relative	surface_heard	relative_heard	candidate_evidence	candidate_base	ablation_evidence	ablation_base
natural-onions	onions	onion	2	2	heard	onion	none	none
threshold-plural	zorbles	zorble	1	2	heard	zorble	none	none
thin-plural	zorbles	zorble	1	1	none	none	none	none
surface-only	zorbles	zorble	3	0	none	none	none	none
base-familiar	zorbles	zorble	1	3	heard	zorble	heard	zorble
base-learned	zorbles	zorble	1	0	meaning	zorble	meaning	zorble
past-pair	guided	guide	1	2	heard	guide	none	none
closed-bridge	neighbor	neighbour	1	2	heard	neighbour	none	none
reverse-control	onion	onions	2	2	none	none	none	none
news-control	news	new	2	2	none	none	none	none
doubled-s-control	press	pres	2	2	none	none	none	none
substring-control	rain	training	2	2	none	none	none	none
