point	word	heard	meaning_primary	meaning_alternate	episode	offered_primary	offered_alternate	answer_primary	answer_alternate	resolved	returns	pending	pending_primary	pending_alternate	pending_turns	wonders	school_learned	deferred	deferred_blocks	deferred_born_turn	deferred_last_seen_turn	deferred_count	turn_clock
turn1	alive	18	none	none	0	none	none	none	none	-1	-1	none	none	none	0	0	0	0	0	0	0	0	1
turn1	happy	15	joy	none	0	none	none	none	none	-1	-1	none	none	none	0	0	0	0	0	0	0	0	1
turn1	small	426	small	none	0	none	none	none	none	-1	-1	none	none	none	0	0	0	0	0	0	0	0	1
turn1	remember	37	remember	none	0	none	none	none	none	-1	-1	none	none	none	0	0	0	0	0	0	0	0	1
turn1	new	32	other	none	0	none	none	none	none	-1	-1	none	none	none	0	0	0	0	0	0	0	0	1
turn13	mysterious	1	none	none	1	none	none	none	none	0	0	mysterious	none	none	0	1	0	0	0	0	0	0	13
turn13	tender	5	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	0	1	0	0	0	0	0	0	13
turn13	string	9	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	0	1	0	0	0	0	0	0	13
turn13	grandmother	22	old	none	0	none	none	none	none	-1	-1	mysterious	none	none	0	1	0	0	0	0	0	0	13
turn14	mysterious	1	none	none	1	none	none	none	none	0	0	mysterious	none	none	1	1	0	0	0	0	0	0	14
turn14	hard	21	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	1	1	0	0	0	0	0	0	14
turn14	understand	20	know	none	0	none	none	none	none	-1	-1	mysterious	none	none	1	1	0	0	0	0	0	0	14
turn14	gentle	36	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	1	1	0	0	0	0	0	0	14
turn14	important	23	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	1	1	0	0	0	0	0	0	14
turn14	comfort	3	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	1	1	0	0	0	0	0	0	14
turn22	mysterious	1	none	none	1	none	none	none	none	0	0	mysterious	none	none	9	1	0	0	0	0	0	0	22
turn22	stone	30	stone	none	0	none	none	none	none	-1	-1	mysterious	none	none	9	1	0	0	0	0	0	0	22
turn22	hand	81	body	none	0	none	none	none	none	-1	-1	mysterious	none	none	9	1	0	0	0	0	0	0	22
turn22	wait	14	wait	none	0	none	none	none	none	-1	-1	mysterious	none	none	9	1	0	0	0	0	0	0	22
turn23	mysterious	1	none	none	1	none	none	none	none	0	0	mysterious	none	none	10	1	0	0	0	0	0	1	23
turn23	smooth	2	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	10	1	0	1	1	23	23	1	23
turn23	heavy	10	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	10	1	0	0	0	0	0	1	23
turn23	warm	83	fire	none	0	none	none	none	none	-1	-1	mysterious	none	none	10	1	0	0	0	0	0	1	23
turn23	comforting	7	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	10	1	0	0	0	0	0	1	23
turn23	stone	31	stone	none	0	none	none	none	none	-1	-1	mysterious	none	none	10	1	0	0	0	0	0	1	23
turn23	fire	7	fire	none	0	none	none	none	none	-1	-1	mysterious	none	none	10	1	0	0	0	0	0	1	23
turn24	mysterious	1	none	none	1	none	none	none	none	0	0	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24	smooth	2	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	1	1	23	23	1	24
turn24	heavy	10	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24	warm	84	fire	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24	comforting	7	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24	stone	31	stone	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24	fire	7	fire	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24-sleep	mysterious	1	none	none	1	none	none	none	none	0	0	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24-sleep	smooth	2	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	1	1	23	23	1	24
turn24-sleep	heavy	10	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24-sleep	warm	84	fire	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24-sleep	comforting	7	none	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24-sleep	stone	31	stone	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
turn24-sleep	fire	7	fire	none	0	none	none	none	none	-1	-1	mysterious	none	none	11	1	0	0	0	0	0	1	24
